Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"005385","HYUNDAI MOTOR S1 PREF","Consumer Discretionary","Equity","7,556,911.02","0.03","7,556,911.02","63,095.00","119.77","Korea (South)","Korea Exchange (Stock Market)","KRW"
"6855","ASCENTAGE PHARMA GROUP INTERNATION","Health Care","Equity","7,506,782.11","0.03","7,506,782.11","703,000.00","10.68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6488","GLOBALWAFERS LTD","Information Technology","Equity","7,473,993.54","0.03","7,473,993.54","628,000.00","11.90","Taiwan","Gretai Securities Market","TWD"
"2353","ACER","Information Technology","Equity","7,448,502.71","0.03","7,448,502.71","7,852,850.00","0.95","Taiwan","Taiwan Stock Exchange","TWD"
"PGE","PGE POLSKA GRUPA ENERGETYCZNA SA","Utilities","Equity","7,448,969.91","0.03","7,448,969.91","2,478,649.00","3.01","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"DELHIVERY","DELHIVERY LTD","Industrials","Equity","7,436,077.65","0.03","7,436,077.65","1,384,425.00","5.37","India","National Stock Exchange Of India","INR"
"SM","SM INVESTMENTS CORP","Industrials","Equity","7,420,257.20","0.03","7,420,257.20","563,368.00","13.17","Philippines","Philippine Stock Exchange Inc.","PHP"
"1787","SHANDONG GOLD MINING LTD H","Materials","Equity","7,413,763.03","0.03","7,413,763.03","1,840,750.00","4.03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AIRARABIA","AIR ARABIA","Industrials","Equity","7,393,841.82","0.03","7,393,841.82","7,300,425.00","1.01","United Arab Emirates","Dubai Financial Market","AED"
"GRT","GROWTHPOINT PROP LTD SHS","Real Estate","Equity","7,389,684.69","0.03","7,389,684.69","9,039,902.00","0.82","South Africa","Johannesburg Stock Exchange","ZAR"
"300760","SHENZHEN MINDRAY BIO-MEDICAL ELECT","Health Care","Equity","7,382,930.02","0.03","7,382,930.02","213,700.00","34.55","China","Shenzhen Stock Exchange","CNY"
"867","CHINA MEDICAL SYSTEM HOLDINGS LTD","Health Care","Equity","7,384,479.72","0.03","7,384,479.72","4,187,000.00","1.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ISA","INTERCONEXION ELECTRICA SA","Utilities","Equity","7,336,272.53","0.03","7,336,272.53","1,353,343.00","5.42","Colombia","Bolsa De Valores De Colombia","COP"
"8299","PHISON ELECTRONICS CORP","Information Technology","Equity","7,317,464.98","0.03","7,317,464.98","464,000.00","15.77","Taiwan","Gretai Securities Market","TWD"
"3323","CHINA NATIONAL BUILDING MATERIAL L","Materials","Equity","7,313,845.50","0.03","7,313,845.50","10,520,400.00","0.70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TPE","TAURON POLSKA ENERGIA SA","Utilities","Equity","7,315,009.27","0.03","7,315,009.27","3,366,108.00","2.17","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
